,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,data/num_train_samples,test/roc_auc,test/temporal_roc_auc,pretrained,data_type
136,136,136,136,136,7,7,136,142,100000,0.7563147848652143,0.7449498308520013,lace+xgb,structured
137,137,137,137,137,8,8,137,151,100,0.7060885540571449,0.6927108044848854,lace+xgb,structured
138,138,138,138,138,9,9,138,147,100,0.7289223795783664,0.7211372460820511,lace+xgb,structured
139,139,139,139,139,10,10,139,141,362259,0.7576519665236381,0.745056210053735,lace+xgb,structured
140,140,140,140,140,11,11,129,143,10000,0.7504095099483457,0.740213262703227,lace+xgb,structured
141,141,141,141,141,12,12,140,132,362259,0.7577135522562577,0.7453568008967204,lace+xgb,structured
142,142,142,142,142,13,13,142,138,362259,0.7578719586905979,0.7452184968265424,lace+xgb,structured
143,143,143,143,143,14,14,143,137,10000,0.7505668291994517,0.7405289932997973,lace+xgb,structured
144,144,144,144,144,15,15,144,136,100000,0.7557870200779259,0.7445945612520587,lace+xgb,structured
145,145,145,145,145,16,16,145,135,362259,0.7574435957059321,0.7449763839977189,lace+xgb,structured
146,146,146,146,146,17,17,146,134,10000,0.7497201795001426,0.7364789955331843,lace+xgb,structured
147,147,147,147,147,18,18,147,133,100000,0.756547145340262,0.7446373961848196,lace+xgb,structured
148,148,148,148,148,19,19,148,131,10000,0.7523651453823372,0.7395422572998743,lace+xgb,structured
149,149,149,149,149,20,20,149,130,100000,0.756404389228338,0.7444371758508119,lace+xgb,structured
150,150,150,150,150,21,21,150,129,362259,0.7573897481598618,0.7451226580035225,lace+xgb,structured
151,151,151,151,151,22,22,151,152,1000,0.7293702760481531,0.7194755995491681,lace+xgb,structured
152,152,152,152,152,23,23,141,139,100000,0.7573647224808497,0.7449342224828636,lace+xgb,structured
153,153,153,153,153,24,24,152,140,10000,0.7496508939521466,0.738867964645199,lace+xgb,structured
