,fpr,tpr,trial
16746,0.065,0.44,random-split
16747,0.065,0.441,random-split
16748,0.065,0.441,random-split
16749,0.065,0.441,random-split
16750,0.065,0.441,random-split
16751,0.065,0.442,random-split
16752,0.065,0.442,random-split
16753,0.065,0.442,random-split
16754,0.065,0.442,random-split
16755,0.065,0.442,random-split
16743,0.064,0.44,random-split
16756,0.065,0.442,random-split
16758,0.065,0.442,random-split
16759,0.065,0.443,random-split
16760,0.065,0.443,random-split
16761,0.065,0.443,random-split
16762,0.065,0.443,random-split
16763,0.065,0.443,random-split
16764,0.065,0.443,random-split
16765,0.065,0.444,random-split
16766,0.066,0.444,random-split
16767,0.066,0.444,random-split
16768,0.066,0.444,random-split
16769,0.066,0.444,random-split
16757,0.065,0.442,random-split
16770,0.066,0.444,random-split
16742,0.064,0.44,random-split
16740,0.064,0.439,random-split
16714,0.063,0.435,random-split
16715,0.063,0.435,random-split
16716,0.063,0.436,random-split
16717,0.063,0.436,random-split
16718,0.063,0.436,random-split
16719,0.063,0.436,random-split
16720,0.063,0.436,random-split
16721,0.063,0.436,random-split
16722,0.063,0.437,random-split
16723,0.063,0.437,random-split
16724,0.063,0.437,random-split
16725,0.063,0.437,random-split
16741,0.064,0.44,random-split
16726,0.063,0.438,random-split
16728,0.064,0.438,random-split
16729,0.064,0.438,random-split
16730,0.064,0.438,random-split
16731,0.064,0.438,random-split
16732,0.064,0.438,random-split
16733,0.064,0.439,random-split
16734,0.064,0.439,random-split
16735,0.064,0.439,random-split
16736,0.064,0.439,random-split
16737,0.064,0.439,random-split
16738,0.064,0.439,random-split
16739,0.064,0.439,random-split
16727,0.064,0.438,random-split
16771,0.066,0.445,random-split
16772,0.066,0.445,random-split
16773,0.066,0.445,random-split
16805,0.067,0.45,random-split
16806,0.068,0.45,random-split
16807,0.068,0.45,random-split
16808,0.068,0.45,random-split
16809,0.068,0.451,random-split
16810,0.068,0.451,random-split
16811,0.068,0.451,random-split
16812,0.068,0.451,random-split
16813,0.068,0.451,random-split
16814,0.068,0.451,random-split
16815,0.068,0.451,random-split
16816,0.068,0.451,random-split
16804,0.067,0.45,random-split
16817,0.068,0.452,random-split
16819,0.068,0.452,random-split
16820,0.068,0.452,random-split
16821,0.068,0.452,random-split
16822,0.069,0.452,random-split
16823,0.069,0.452,random-split
16824,0.069,0.452,random-split
16825,0.069,0.452,random-split
16826,0.069,0.452,random-split
16827,0.069,0.453,random-split
16828,0.069,0.453,random-split
16829,0.069,0.453,random-split
16830,0.069,0.453,random-split
16818,0.068,0.452,random-split
16803,0.067,0.45,random-split
16802,0.067,0.449,random-split
16801,0.067,0.449,random-split
16774,0.066,0.445,random-split
16775,0.066,0.445,random-split
16776,0.066,0.445,random-split
16777,0.066,0.446,random-split
16778,0.066,0.446,random-split
16779,0.066,0.446,random-split
16780,0.066,0.446,random-split
16781,0.066,0.446,random-split
16782,0.066,0.446,random-split
16783,0.066,0.447,random-split
16784,0.066,0.447,random-split
16785,0.066,0.447,random-split
16786,0.066,0.447,random-split
16787,0.066,0.447,random-split
16788,0.067,0.447,random-split
16789,0.067,0.447,random-split
16790,0.067,0.447,random-split
16791,0.067,0.448,random-split
16792,0.067,0.448,random-split
16793,0.067,0.448,random-split
16794,0.067,0.448,random-split
16795,0.067,0.449,random-split
16796,0.067,0.449,random-split
16797,0.067,0.449,random-split
16798,0.067,0.449,random-split
16799,0.067,0.449,random-split
16800,0.067,0.449,random-split
16832,0.069,0.453,random-split
17677,0.117,0.568,random-split
16953,0.076,0.47,random-split
16955,0.076,0.47,random-split
17107,0.084,0.492,random-split
17108,0.084,0.492,random-split
17109,0.084,0.492,random-split
17110,0.084,0.492,random-split
17111,0.084,0.492,random-split
17112,0.084,0.493,random-split
17113,0.084,0.493,random-split
17114,0.084,0.493,random-split
17115,0.084,0.493,random-split
17116,0.084,0.493,random-split
17117,0.084,0.493,random-split
17118,0.084,0.493,random-split
17106,0.084,0.492,random-split
17119,0.084,0.493,random-split
17121,0.084,0.493,random-split
17122,0.084,0.494,random-split
17123,0.084,0.494,random-split
17124,0.084,0.494,random-split
17125,0.085,0.494,random-split
17126,0.085,0.494,random-split
17127,0.085,0.494,random-split
17128,0.085,0.494,random-split
17129,0.085,0.494,random-split
17130,0.085,0.494,random-split
17131,0.085,0.494,random-split
17132,0.085,0.495,random-split
17120,0.084,0.493,random-split
17133,0.085,0.495,random-split
17105,0.084,0.492,random-split
17103,0.084,0.491,random-split
17077,0.082,0.487,random-split
17078,0.082,0.487,random-split
17079,0.082,0.487,random-split
17080,0.082,0.488,random-split
17081,0.082,0.488,random-split
17082,0.082,0.488,random-split
17083,0.082,0.488,random-split
17084,0.082,0.488,random-split
17085,0.082,0.488,random-split
17086,0.082,0.488,random-split
17087,0.083,0.488,random-split
17088,0.083,0.488,random-split
17104,0.084,0.492,random-split
17089,0.083,0.488,random-split
17091,0.083,0.489,random-split
17092,0.083,0.489,random-split
17093,0.083,0.489,random-split
