,name,pid,date,seed,gamma,node_ip,hostname,trial_id,max_depth,n_samples,reg_alpha,reg_lambda,n_estimators,experiment_id,learning_rate,colsample_bytree,min_child_weight,scale_pos_weight,config/n_estimators,config/scale_pos_weight,_wandb,timestamp,_timestamp,train_set_auc,config/max_depth,config/reg_alpha,config/reg_lambda,training_iteration,config/colsample_bytree,timesteps_since_restore,_runtime,val_set_auc,config/gamma,warmup_time,time_total_s,same_time_test_auc,time_since_restore,iterations_since_restore,_step,time_this_iter_s,config/min_child_weight,temporal_test_auc,config/learning_rate,config/seed,config/n_samples
30,362259samples-42seed,159767,2022-10-01_23-17-10,42,4,192.168.0.39,cn-0033,f3b524c4,4,362259,0.7308861214468706,4,100,83094c3ce22b4c91b6930a6f88c51b24,0.014190957024620737,0.7789476860330184,4,40,100,40,{'runtime': 936},1664680630,1664680630,0.7034228647338449,4,0.7308861214468706,4,1,0.7789476860330184,0,936,0.7043060042436174,4,0.003654241561889648,936.6800789833068,0.7018599203336684,936.6800789833068,1,0,936.6800789833068,4,0.69024384733119,0.014190957024620737,42,362259
31,100000samples-42seed,137697,2022-10-01_23-08-11,42,4,192.168.0.13,cn-0007,bb366cb4,4,100000,0.2651350972077027,4,150,53c32534e427448f8aad4b2e224f0d68,0.038597170000698455,0.7697435317704724,8,10,150,10,{'runtime': 429},1664680091,1664680091,0.7421803365244516,4,0.2651350972077027,4,1,0.7697435317704724,0,429,0.7352462634013182,4,0.004052877426147461,428.6010310649872,0.7370225086119238,428.6010310649872,1,0,428.6010310649872,8,0.7234525818058005,0.038597170000698455,42,100000
32,362259samples-13seed,54395,2022-10-01_23-21-24,13,4,192.168.0.28,cn-0022,c0602054,4,362259,0.1515315690675697,4,300,e2808716d7014897983a886fcf1bf4c9,0.056213565091370765,0.9307574172456816,4,30,300,30,{'runtime': 1495},1664680884,1664680884,0.733308264884358,4,0.1515315690675697,4,1,0.9307574172456816,0,1495,0.7329099228984433,4,0.003723621368408203,1495.268948554993,0.7252809834022064,1495.268948554993,1,0,1495.268948554993,4,0.7158429907130672,0.056213565091370765,13,362259
33,362259samples-13seed,54248,2022-10-01_23-26-16,13,4,192.168.0.28,cn-0022,d5a17d90,12,362259,0.05962723880555343,0,150,2611d785cc9f45deaa8cd1917be0e2a1,0.033348972109079396,0.7346577887242637,0,20,150,20,{'runtime': 1813},1664681176,1664681176,0.6727314667935238,12,0.05962723880555343,0,1,0.7346577887242637,0,1813,0.6650616794186246,4,0.003700494766235352,1813.5189471244812,0.6730979097472356,1813.5189471244812,1,0,1813.5189471244812,0,0.6546059122315422,0.033348972109079396,13,362259
34,100000samples-42seed,137772,2022-10-01_23-01-41,42,8,192.168.0.13,cn-0007,282a8522,12,100000,0.30807013852186327,6,100,8941845e08b14c97b9b4a67fc2fb38d1,0.08780118952830349,0.8842913009253125,4,0,100,0,{'runtime': 348},1664679701,1664679701,0.5,12,0.30807013852186327,6,1,0.8842913009253125,0,347,0.5,8,0.00387430191040039,347.77752232551575,0.5,347.77752232551575,1,0,347.77752232551575,4,0.5,0.08780118952830349,42,100000
35,362259samples-0seed,14321,2022-10-01_23-08-45,0,4,192.168.0.51,cn-0045,f483f2f8,12,362259,0.7071377722027639,4,150,5c9bc36e3043437ab87a66d7e2609736,0.015178552493135355,0.7235225333031072,4,0,150,0,{'runtime': 784},1664680125,1664680125,0.5,12,0.7071377722027639,4,1,0.7235225333031072,0,784,0.5,4,0.003467321395874023,784.1201972961426,0.5,784.1201972961426,1,0,784.1201972961426,4,0.5,0.015178552493135355,0,362259
36,100000samples-36seed,246338,2022-10-01_23-03-49,36,12,192.168.0.52,cn-0046,0876fefe,12,100000,0.877843741180753,2,200,20c9abea89444ad79e43ac32171c31a8,0.02091685264105509,0.8409749228332132,4,30,200,30,{'runtime': 652},1664679829,1664679829,0.5573432659507755,12,0.877843741180753,2,1,0.8409749228332132,0,653,0.5570340648515485,12,0.003333568572998047,652.5386075973511,0.5509561247022602,652.5386075973511,1,0,652.5386075973511,4,0.5695783485424188,0.02091685264105509,36,100000
37,100000samples-42seed,137697,2022-10-01_23-00-58,42,8,192.168.0.13,cn-0007,676cca66,12,100000,0.28301599887521556,4,150,53c32534e427448f8aad4b2e224f0d68,0.04157616134815737,0.7636791879333699,4,40,150,40,{'runtime': 551},1664679658,1664679658,0.6833504434074702,12,0.28301599887521556,4,1,0.7636791879333699,0,551,0.6670152944507167,8,0.004052877426147461,550.9853341579437,0.6728209773176639,550.9853341579437,1,0,550.9853341579437,4,0.6659836722261503,0.04157616134815737,42,100000
38,100000samples-36seed,246248,2022-10-01_22-59-50,36,8,192.168.0.52,cn-0046,fee6840a,8,100000,0.347258250759763,8,150,4b76a75bc1c3457c873373f55bc22da5,0.011729172285362034,0.983963605105529,4,10,150,10,{'runtime': 536},1664679590,1664679590,0.567110922798808,8,0.347258250759763,8,1,0.983963605105529,0,536,0.5658380486029241,8,0.0036058425903320312,536.0010364055634,0.5630129663049122,536.0010364055634,1,0,536.0010364055634,4,0.5516656231697525,0.011729172285362034,36,100000
39,362259samples-0seed,14169,2022-10-01_23-11-09,0,4,192.168.0.51,cn-0045,9caf3cc4,4,362259,0.3612477732953605,4,300,662359216f5a47eebff50318e5e1d8a8,0.02267893652572502,0.7765513691324936,4,10,300,10,{'runtime': 1248},1664680269,1664680269,0.7361080130039326,4,0.3612477732953605,4,1,0.7765513691324936,0,1248,0.7344046524414973,4,0.003758668899536133,1248.4712328910828,0.7340568901856731,1248.4712328910828,1,0,1248.4712328910828,4,0.7234583162716774,0.02267893652572502,0,362259
